u,g,r,i,z,CLASS
20.2197,18.6015,17.789,17.3225,16.9511,GALAXY
21.9208,19.8528,18.6922,18.2328,17.9327,GALAXY
18.4969,17.8835,17.407,17.0025,16.7811,QSO
20.4635,18.7835,18,17.6095,17.3031,GALAXY
19.6251,18.5499,18.0173,17.7318,17.5318,GALAXY
20.5783,18.5905,17.567,17.0125,16.5631,GALAXY
20.2836,19.1735,18.74,18.4535,18.3019,GALAXY
20.6364,19.4325,18.926,18.5455,18.2909,GALAXY
19.7038,19.5355,19.346,19.3274,18.7775,QSO
22.0067,19.9128,18.7482,18.2978,17.9817,GALAXY
20.3978,19.2049,18.7172,18.4258,18.2146,GALAXY
21.7258,20.0724,19.179,18.6985,18.3308,GALAXY
19.1231,18.6119,18.6172,18.3678,18.1047,QSO
23.8096,21.7991,20.0659,19.4394,19.0601,GALAXY
20.3369,19.3779,18.9572,18.7148,18.5684,GALAXY
19.6161,19.6949,19.3732,19.2848,19.2154,QSO
21.4375,19.5531,18.627,18.1273,17.7746,GALAXY
19.6843,18.7201,18.438,18.3473,18.3584,STAR
21.1279,19.4174,18.6172,18.2306,17.9534,GALAXY
21.0301,19.2241,18.397,18.0383,17.7346,GALAXY
21.4384,19.5321,18.609,18.2263,17.8976,GALAXY
24.5452,21.6204,19.9709,19.2792,18.812,GALAXY
19.2044,19.1271,19.125,18.9873,18.8969,QSO
21.7838,19.7401,18.417,17.9203,17.5626,GALAXY
20.5918,18.7791,18.018,17.6653,17.3706,GALAXY
22.7831,21.3151,19.7329,19.1452,18.829,GALAXY
23.0585,20.85,19.2622,18.6876,18.3353,GALAXY
19.7625,18.6164,18.1483,17.9546,17.8864,STAR
20.7418,19.6504,19.1322,18.7566,18.5981,GALAXY
21.4058,19.4414,18.4513,17.9376,17.5495,GALAXY
20.529,18.9894,18.1173,17.6526,17.3275,GALAXY
21.4705,19.5964,18.8703,18.4996,18.2443,GALAXY
23.3778,22.2585,20.4926,19.6701,19.1784,GALAXY
21.5735,20.2888,19.7922,19.5337,19.366,GALAXY
19.8103,18.41,17.7243,17.3919,17.1718,GALAXY
23.1583,22.3591,20.5808,19.6457,19.2693,GALAXY
17.2513,16.3978,16.1512,16.063,16.0299,STAR
21.3269,19.5009,18.4433,17.9989,17.6768,GALAXY
18.8993,16.9639,16.0793,15.6659,15.3439,GALAXY
18.5465,16.836,16.3173,16.1919,16.0699,STAR
23.1408,22.058,20.1261,19.4637,19.0758,GALAXY
23.8671,21.6142,19.7431,19.1358,18.7882,GALAXY
23.1584,21.1103,19.4842,18.8798,18.5734,GALAXY
18.4293,17.1309,16.5553,16.2429,15.9879,GALAXY
20.7775,19.4549,18.7983,18.4418,18.2066,GALAXY
21.2673,19.9389,19.4792,19.2118,19.1007,GALAXY
19.1143,18.0819,17.7033,17.4079,17.3018,GALAXY
20.4609,19.2349,18.9073,18.7338,18.6154,GALAXY
23.1019,21.1832,19.5102,18.9128,18.5814,GALAXY
20.3991,18.41,17.3893,16.8539,16.4589,GALAXY
19.6785,18.491,17.8043,17.3929,17.1508,GALAXY
21.1927,19.482,18.6913,18.3169,18.0487,GALAXY
20.2462,18.2751,17.3511,16.9153,16.5977,GALAXY
17.3346,16.3832,16.1181,16.0233,16.0417,STAR
20.2159,19.2856,19.0161,18.7745,18.6257,GALAXY
19.6587,18.2895,17.6703,17.3197,17.0786,GALAXY
20.3871,18.6261,17.762,17.3773,17.0747,GALAXY
21.1394,19.2476,18.1791,17.6746,17.2991,GALAXY
21.5039,20.2345,19.752,19.4834,19.2995,GALAXY
20.5818,18.7107,17.8241,17.3896,17.0091,GALAXY
20.2614,18.9502,18.3071,17.9233,17.6596,GALAXY
21.3602,19.4795,18.5133,18.0567,17.7215,GALAXY
22.1014,20.6981,19.8722,19.2676,18.9647,STAR
21.9715,19.9866,18.5971,18.0736,17.6951,GALAXY
20.6815,19.0236,18.1711,17.7126,17.3761,GALAXY
20.6041,19.2822,18.6041,18.2213,17.9586,GALAXY
21.0609,19.2727,18.3351,17.9346,17.5961,GALAXY
22.9463,21.2274,19.561,18.9343,18.5523,GALAXY
21.6105,20.0651,19.415,19.0983,18.868,GALAXY
23.0887,21.128,19.4931,18.8805,18.4598,GALAXY
18.9547,18.7548,18.3901,18.0107,17.8263,QSO
22.8348,20.8527,19.3301,18.7752,18.4141,GALAXY
17.5408,16.7001,16.4241,16.3092,16.2864,STAR
20.923,18.9083,17.8905,17.4633,17.0821,GALAXY
22.0872,20.3602,19.4545,18.9923,18.6587,GALAXY
23.9946,21.9211,20.5327,20.4354,20.1289,QSO
22.8367,20.4137,19.0631,18.5257,18.1833,GALAXY
21.2658,19.2873,18.3025,17.8463,17.4651,GALAXY
21.0982,19.3731,18.4321,17.9982,17.6793,GALAXY
21.9653,19.9333,18.7905,18.3283,17.9521,GALAXY
22.0072,20.1167,18.9321,18.4287,18.0953,GALAXY
21.2489,19.6728,18.6911,18.1657,17.7774,GALAXY
22.9252,21.3697,19.899,18.9296,18.7668,STAR_LATE
20.6052,18.9238,18.2741,18.0137,17.8843,STAR
23.3203,22.2121,20.7159,19.7171,18.7945,STAR_LATE
17.9191,17.8299,17.5271,17.4437,17.4664,QSO
23.0935,21.5209,19.8733,19.1762,18.7663,GALAXY
21.1149,19.3833,18.5481,18.0999,17.8116,GALAXY
19.5036,17.7713,16.9929,16.5737,16.2658,GALAXY
20.9712,19.2853,18.381,17.9379,17.6576,GALAXY
21.1936,19.3753,18.4371,18.0179,17.7096,GALAXY
21.2185,19.7233,18.862,18.3989,18.0455,GALAXY
21.783,19.8102,18.8649,18.4127,18.0467,GALAXY
21.5012,19.5623,18.4421,17.9979,17.6906,GALAXY
20.8689,19.0534,18.0742,17.65,17.3284,GALAXY
21.5856,20.0751,19.2169,18.7207,18.3895,GALAXY
17.0097,16.1075,15.8603,15.7637,15.7476,STAR
19.1065,19.1323,18.991,18.9258,18.3094,QSO
22.799,20.9268,19.261,18.6769,18.3234,GALAXY
21.8205,20.3421,19.4468,19.0307,18.7622,GALAXY
21.0745,19.8279,19.1001,18.7237,18.4541,GALAXY
20.5731,19.3743,18.8579,18.4977,18.3076,GALAXY
